event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours
wazuh-1788729480.2787960,2026-09-06T21:18:00.468000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,109,3,21,6,1
wazuh-1788729498.2788403,2026-09-06T21:18:18.544000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
wazuh-1788729499.2788846,2026-09-06T21:18:19.761000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,20,6,7,1,15,0,0,78,10,21,6,1
wazuh-1788729501.2789288,2026-09-06T21:18:21.770000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,19,7,7,1,14,0,0,78,10,21,6,1
wazuh-1788729503.2789730,2026-09-06T21:18:23.775000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,20,8,6,0,13,0,0,78,6,21,6,1
wazuh-1788729505.2790178,2026-09-06T21:18:25.777000Z,lab-sensor-01,30305,5,access_denied|apache|web,apache-errorlog,none,/var/log/apache2/error.log,58676,0,1,0,0,0,1,0,0,0,0,0,21,2,6,0,13,0,0,78,6,21,6,1
wazuh-1788729505.2790778,2026-09-06T21:18:25.777000Z,lab-sensor-01,31516,6,appsec|attack|web,web-accesslog,T1055,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,22,2,6,0,13,0,0,78,6,21,6,1
wazuh-1788729512.2791221,2026-09-06T21:18:32.869000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729512.2793425,2026-09-06T21:18:32.875000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729518.2795629,2026-09-06T21:18:38.612000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
wazuh-1788729529.2796072,2026-09-06T21:18:49.646000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,35,0,0,108,3,21,6,1
wazuh-1788729540.2796515,2026-09-06T21:19:00.655000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,35,0,0,108,3,21,6,1
wazuh-1788729554.2796958,2026-09-06T21:19:14.719000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,20,20,1,0,36,0,0,108,3,21,6,1
wazuh-1788729572.2797401,2026-09-06T21:19:32.800000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1
wazuh-1788729573.2797844,2026-09-06T21:19:33.172000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729573.2800050,2026-09-06T21:19:33.174000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729590.2802256,2026-09-06T21:19:50.348000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1
wazuh-1788729599.2802699,2026-09-06T21:19:59.947000Z,lab-sensor-01,31104,6,accesslog|attack|web,web-accesslog,T1055|T1083|T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,16,0,6,0,9,0,0,79,6,21,6,1
wazuh-1788729600.2803158,2026-09-06T21:20:00.789000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1
wazuh-1788729603.2803601,2026-09-06T21:20:03.951000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,17,0,6,0,9,0,0,80,6,21,6,1
wazuh-1788729619.2804086,2026-09-06T21:20:19.655000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1
wazuh-1788729620.2804529,2026-09-06T21:20:20.013000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,41294,0,1,0,0,0,1,0,0,0,1,0,18,6,6,0,9,0,0,81,6,21,6,1
wazuh-1788729624.2805078,2026-09-06T21:20:24.042000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,41310,0,1,0,0,0,1,0,0,0,1,0,19,7,6,0,10,0,0,82,6,21,6,1
wazuh-1788729626.2805627,2026-09-06T21:20:26.045000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,41316,0,1,0,0,0,1,0,0,0,1,0,20,8,6,0,11,0,0,82,6,21,6,1
wazuh-1788729634.2806176,2026-09-06T21:20:34.951000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729634.2808380,2026-09-06T21:20:34.951000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729638.2810584,2026-09-06T21:20:38.125000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1
wazuh-1788729652.2811027,2026-09-06T21:20:52.076000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,45056,0,1,0,0,0,1,0,0,0,1,0,16,9,6,0,12,0,0,79,6,21,6,1
wazuh-1788729652.2811576,2026-09-06T21:20:52.207000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1
wazuh-1788729654.2812019,2026-09-06T21:20:54.081000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,45070,0,1,0,0,0,1,0,0,0,1,0,17,10,6,0,13,0,0,80,6,21,6,1
wazuh-1788729658.2812568,2026-09-06T21:20:58.085000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,45082,0,1,0,0,0,1,0,0,0,1,0,18,11,6,0,14,0,0,80,6,21,6,1
wazuh-1788729675.2813117,2026-09-06T21:21:15.104000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1
wazuh-1788729685.2813560,2026-09-06T21:21:25.759000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1
wazuh-1788729686.2814003,2026-09-06T21:21:26.124000Z,lab-sensor-01,31104,6,accesslog|attack|web,web-accesslog,T1055|T1083|T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,16,1,6,0,15,0,0,80,6,21,6,1
wazuh-1788729690.2814462,2026-09-06T21:21:30.130000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,17,1,6,0,15,0,0,80,6,21,6,1
wazuh-1788729695.2814947,2026-09-06T21:21:35.020000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729695.2817153,2026-09-06T21:21:35.020000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729705.2819359,2026-09-06T21:21:45.784000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1
wazuh-1788729724.2819802,2026-09-06T21:22:04.760000Z,lab-sensor-01,31104,6,accesslog|attack|web,web-accesslog,T1055|T1083|T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,18,2,6,0,15,0,0,81,6,21,6,1
wazuh-1788729726.2820261,2026-09-06T21:22:06.033000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1
wazuh-1788729728.2820704,2026-09-06T21:22:08.765000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,19,2,6,0,15,0,0,82,6,21,6,1
